air_date,weekday,start_hhmm,time_slot,channel,channel_type,brand,product_name,category,price,url
2026-08-22,토,03:00,새벽 03-06,NS홈쇼핑,TV홈쇼핑,[No brand names found.],새벽팜 참매실 포기김치 10kg,식품,46900,https://m.nsmall.com/gate?ptnCd=538&hsmoa_userid=&target=/goods/36056308&hsmoa_code=moa
2026-08-22,토,03:00,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],4 스위트 발 편한 울 플랫 메리제인 슈즈,기타,139000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919462&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:00,새벽 03-06,공영쇼핑,TV홈쇼핑,[No brand names found.],[100% 국내산 천연 햇 벌꿀]농협안심특화꿀 아까시꽃꿀 5병,식품,59900,http://m.gongyoungshop.kr/gate/selectAliance.do?alcLnkCd=hsmoa&tgUrl=/goods/selectGoodsDetail.do?prdId=11948726
2026-08-22,토,03:00,새벽 03-06,GS샵,TV홈쇼핑,RYN,RYN 26SS 최신상 쿨워킹화 1종 + 슬리퍼 1종 여성용,패션잡화,59000,https://m.gsshop.com/alia/aliaGate.gs?media=LUz&gourl=/prd/prd.gs?prdid=1133335495&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:05,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,프리메로,□[8박스]프리메로 유기농 토마토 NFC 100 (1박스: 40g x 10포),기타,98000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919496&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:05,새벽 03-06,홈앤쇼핑,TV홈쇼핑,쏜데이,[방송에서만 이조건] 쏜데이 프리미엄 워터건,기타,129000,http://m.hnsmall.com/goods/view/79567858?channel_code=20397&utm_source=Hsmoa&utm_medium=AF&utm_campaign=TV_None_79567858&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:05,새벽 03-06,CJ온스타일,TV홈쇼핑,지 스튜디오,[온플] 26FW 페이즐리 레이어링 스커트,패션의류,99000,https://display.cjonstyle.com/m/item/2088288569?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:05,새벽 03-06,CJ온스타일,TV홈쇼핑,셀렙샵에디션,"[최초가 99,000원] 25FW 헤어리 폭스울 니트",패션의류,39900,https://display.cjonstyle.com/m/item/2066755215?infl_cd=I0101&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:10,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],○26FW 울블렌딩 니트 집업 자켓,패션의류,139000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12918323&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:10,새벽 03-06,현대홈쇼핑,TV홈쇼핑,샐마,샐마 마카롱EZ 점보 TPU도마 풀세트(방송에서만 조리도구 타워 포함),생활용품,89000,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoatv&utm_medium=cps&utm_campaign=sale&ReferCode=s60&slitmCd=2248998340&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:12,새벽 03-06,GS샵,TV홈쇼핑,라플리,라플리 26FW 핸드플리츠 블루종 재킷,패션의류,149900,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1131696957&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:15,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],○26FW 경량 덕 다운 자켓,패션의류,59900,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919696&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:15,새벽 03-06,CJ온스타일,TV홈쇼핑,지 스튜디오,[온플] 26FW 울블렌드 모헤어 샤 오버레이 셔링 베스트,패션의류,99000,https://display.cjonstyle.com/m/item/2088273886?infl_cd=I0482&utm_medium=pcs&utm_source=hsmoa&channelCode=30002002&chn_cd=30002002&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:17,새벽 03-06,GS샵,TV홈쇼핑,[No brand names found.],제이슨우 26FW Brooklyn 캐시미어 딥 V넥 폴로 니트 3종,패션의류,79900,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1125641342&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:20,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],5 스위트 발 편한 울 플랫 메리제인 슈즈,기타,139000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919464&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:20,새벽 03-06,현대홈쇼핑,TV홈쇼핑,뉴트리케이,[방송에서만]뉴트리케이 두뇌엔포커스 PS 80(8+4박스. 총 12박스),기타,219000,https://www.hmall.com/md/pda/itemPtc?utm_source=homemoadata&utm_medium=cps&utm_campaign=sale&ReferCode=s61&slitmCd=2243656464&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:22,새벽 03-06,GS샵,TV홈쇼핑,에몬스,[에몬스] 위브릭 3인 듀얼스윙H 기능성 패브릭 소파,가구인테리어,1499000,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1133203259&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:25,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,프리메로,◎[8박스]프리메로 유기농 토마토 NFC 100 (1박스: 40g x 10포),기타,98000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12919497&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:25,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],26FW 여성 이태리 램스킨 헝가리 구스다운 자켓,패션의류,299000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171633&chl_dtl_no=2584697&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12918207&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:27,새벽 03-06,W쇼핑,T커머스,W shopping,시청자 정보 ( 여행백서 ),여행서비스,,https://m.w-shopping.co.kr/display/goods/10010301?mediaCode=MC56&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:27,새벽 03-06,GS샵,TV홈쇼핑,스케쳐스,스케쳐스 26FW 최신상 여성용 릴랙스드 코지 슬립인스 워킹화,기타,129000,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1116768061&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:30,새벽 03-06,롯데홈쇼핑,TV홈쇼핑,[No brand names found.],●26FW 울블렌딩 니트 집업 자켓,패션의류,139000,https://m.lotteimall.com/coop/affilGate.lotte?chl_no=171634&chl_dtl_no=2584694&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12918325&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:30,새벽 03-06,GS샵,TV홈쇼핑,레이어드,"스튜디오디페 썸머 레이어드 반팔 셔츠 2종[런칭 가격 79,900원]",패션의류,49900,https://m.gsshop.com/alia/aliaGate.gs?media=LUz&gourl=/prd/prd.gs?prdid=1103966558&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:31,새벽 03-06,bshop,미분류,일월,[일월] 일월 차콜라운드 카본 매트 더블,기타,159600,http://m.skstoa.com/display/goods/53928448?orderMedia=62&mediaCode=EP08&mediaTarget=001&utm_source=hsmoa&utm_medium=affiliate&utm_campaign=hsmoaoffair&hsmoa_userid=&hsmoa_code=moa
2026-08-22,토,03:32,새벽 03-06,GS샵,TV홈쇼핑,[No brand names found.],SJ와니 26FW 백 밴딩 커브드 볼륨 팬츠 1종,패션의류,89900,https://m.gsshop.com/alia/aliaGate.gs?media=LVA&gourl=/prd/prd.gs?prdid=1130686307&hsmoa_userid=&hsmoa_code=moa&utm_source=nscreen&utm_medium=affiliate&utm_campaign=homeshopmoa
2026-08-22,토,03:33,새벽 03-06,W쇼핑,T커머스,종근당건강,종근당건강 아이클리어 루테인지아잔틴 아스타잔틴 미니 (10박스/10개월분),건강기능식품,195000,https://m.w-shopping.co.kr/display/goods/25355406?mediaCode=MC04&hsmoa_userid=
